County,City,ZipCode,Agency,FocusArea,Service,Address
Clayton,Riverdale,30274,Southern Regional Emory Healthcare,Health,Emergency Room Care,"11 Upper Riverdale Rd., SW"
Clayton,Riverdale,30274,Southern Regional Emory Healthcare,Health,Emotions Anonymous Support Groups,"11 Upper Riverdale Rd., SW"
Clayton,Riverdale,30274,Southern Regional Emory Healthcare,Health,Extended Acute Care Hospitals,"11 Upper Riverdale Rd., SW"
Clayton,Riverdale,30274,Southern Regional Emory Healthcare,Health,General Bereavement Support Groups,"11 Upper Riverdale Rd., SW"
Clayton,Riverdale,30274,Southern Regional Emory Healthcare,Health,General Obstetrics,"11 Upper Riverdale Rd., SW"
Clayton,Riverdale,30274,Southern Regional Emory Healthcare,Health,Gynecology Services,"11 Upper Riverdale Rd., SW"
Clayton,Riverdale,30274,Southern Regional Emory Healthcare,Health,Men's Support Groups,"11 Upper Riverdale Rd., SW"
Clayton,Riverdale,30274,Southern Regional Emory Healthcare,Health,Mental Health Related Support Groups,"11 Upper Riverdale Rd., SW"
Clayton,Riverdale,30274,Southern Regional Emory Healthcare,Health,Neonatal/Perinatal Medicine,"11 Upper Riverdale Rd., SW"
Clayton,Riverdale,30274,Southern Regional Emory Healthcare,Health,Physician Referral Services,"11 Upper Riverdale Rd., SW"
Clayton,Riverdale,30274,Southern Regional Emory Healthcare,Health,Prepared Childbirth,"11 Upper Riverdale Rd., SW"
Clayton,Riverdale,30274,Southern Regional Emory Healthcare,Health,Psychiatric Case Management,"11 Upper Riverdale Rd., SW"
Clayton,Riverdale,30274,Southern Regional Emory Healthcare,Health,Separation/Divorce Support Groups,"11 Upper Riverdale Rd., SW"
Clayton,Riverdale,30274,Southern Regional Emory Healthcare,Health,Terminal Illness Support Groups,"11 Upper Riverdale Rd., SW"
Clayton,Riverdale,30274,Southern Regional Emory Healthcare,Health,Weight Related Support Groups,"11 Upper Riverdale Rd., SW"
Clayton,Riverdale,30274,Southern Regional Emory Healthcare,Health,Well Baby Care,"11 Upper Riverdale Rd., SW"
Clayton,Riverdale,30274,Southern Regional Emory Healthcare,Health,Women's Support Groups,"11 Upper Riverdale Rd., SW"
Clayton,Riverdale,30274,"Youth Empowerment Project, Inc.",Health,Adolescent/Youth Counseling,601 Denham St.
Clayton,Riverdale,30274,"Youth Empowerment Project, Inc.",Health,Anger Management,601 Denham St.
Clayton,Riverdale,30274,"Youth Empowerment Project, Inc.",Education,Career Awareness,601 Denham St.
Clayton,Riverdale,30274,"Youth Empowerment Project, Inc.",Education,Career Counseling,601 Denham St.
Clayton,Riverdale,30274,"Youth Empowerment Project, Inc.",Education,Career Exploration,601 Denham St.
Clayton,Riverdale,30274,"Youth Empowerment Project, Inc.",Health,Child Guidance,601 Denham St.
Clayton,Riverdale,30274,"Youth Empowerment Project, Inc.",Education,Classroom Training,601 Denham St.
Clayton,Riverdale,30274,"Youth Empowerment Project, Inc.",Education,College/University Entrance Examination Preparation,601 Denham St.
Clayton,Riverdale,30274,"Youth Empowerment Project, Inc.",Education,Community Based Preschools,601 Denham St.
Clayton,Riverdale,30274,"Youth Empowerment Project, Inc.",Education,Extended Child Care,601 Denham St.
Clayton,Riverdale,30274,"Youth Empowerment Project, Inc.",Health,Family Counseling,601 Denham St.
Clayton,Riverdale,30274,"Youth Empowerment Project, Inc.",Education,GED/High School Equivalency Test Instruction,601 Denham St.
Clayton,Riverdale,30274,"Youth Empowerment Project, Inc.",Health,Home Based Mental Health Services,601 Denham St.
Clayton,Riverdale,30274,"Youth Empowerment Project, Inc.",Health,Individual Counseling,601 Denham St.
Clayton,Riverdale,30274,"Youth Empowerment Project, Inc.",Education,Internship Programs,601 Denham St.
Clayton,Riverdale,30274,"Youth Empowerment Project, Inc.",Education,Job Interview Training,601 Denham St.
Clayton,Riverdale,30274,"Youth Empowerment Project, Inc.",Education,Job Search Resource Centers,601 Denham St.
Clayton,Riverdale,30274,"Youth Empowerment Project, Inc.",Education,Job Search Techniques,601 Denham St.
Clayton,Riverdale,30274,"Youth Empowerment Project, Inc.",Education,Resume Preparation Assistance,601 Denham St.
Clayton,Riverdale,30274,"Youth Empowerment Project, Inc.",Education,Subject Tutoring,601 Denham St.
Clayton,Riverdale,30274,"Youth Empowerment Project, Inc.",Income,Summer Youth Employment Programs,601 Denham St.
Clayton,Riverdale,30274,"Youth Empowerment Project, Inc.",Education,Vocational Assessment,601 Denham St.
Clayton,Riverdale,30274,"Youth Empowerment Project, Inc.",Miscellaneous,WIOA Programs,601 Denham St.
Clayton,Riverdale,30274,"Youth Empowerment Project, Inc.",Education,Youth Enrichment Programs,601 Denham St.
Clayton,Riverdale,30274,"Youth Empowerment Project, Inc.",Miscellaneous,Youth Violence Prevention,601 Denham St.
Clayton,Riverdale,30296,"House of Inspiration, Inc.",Health,Adolescent/Youth Counseling,804 Commerce Blvd.
Clayton,Riverdale,30296,"House of Inspiration, Inc.",Education,Adult/Child Mentoring Programs,804 Commerce Blvd.
Clayton,Riverdale,30296,"House of Inspiration, Inc.",Health,Anger Management,804 Commerce Blvd.
Clayton,Riverdale,30296,"House of Inspiration, Inc.",Health,Behavior Modification,804 Commerce Blvd.
Clayton,Riverdale,30296,"House of Inspiration, Inc.",Health,Family Counseling,804 Commerce Blvd.
Clayton,Riverdale,30296,"House of Inspiration, Inc.",Health,Group Counseling,804 Commerce Blvd.
Clayton,Riverdale,30296,"House of Inspiration, Inc.",Health,Group Homes for Dependent Children,804 Commerce Blvd.
Clayton,Riverdale,30296,"House of Inspiration, Inc.",Health,Independent Living Skills Instruction,804 Commerce Blvd.
Clayton,Riverdale,30296,"House of Inspiration, Inc.",Health,Individual Counseling,804 Commerce Blvd.
Clayton,Riverdale,30296,"House of Inspiration, Inc.",Education,Juvenile Delinquency Diversion Counseling,804 Commerce Blvd.
Clayton,Riverdale,30296,"House of Inspiration, Inc.",Health,Life Skills Education,804 Commerce Blvd.
Clayton,Riverdale,30296,"House of Inspiration, Inc.",Health,Self Esteem Workshops,804 Commerce Blvd.
Cobb,Acworth,30101,Acworth Emergency Food Pantry,Basic Needs,Food Pantries,3385 Mars Hill Rd.
Cobb,Acworth,30101,Cobb and Douglas Public Health - Acworth Public Health Center,Miscellaneous,Birth Certificates,4489 Acworth Industrial Dr.
Cobb,Acworth,30101,Cobb and Douglas Public Health - Acworth Public Health Center,Health,Blood Chemistry Panels,4489 Acworth Industrial Dr.
Cobb,Acworth,30101,Cobb and Douglas Public Health - Acworth Public Health Center,Health,Blood Pressure Screening,4489 Acworth Industrial Dr.
Cobb,Acworth,30101,Cobb and Douglas Public Health - Acworth Public Health Center,Health,Breast Examinations,4489 Acworth Industrial Dr.
Cobb,Acworth,30101,Cobb and Douglas Public Health - Acworth Public Health Center,Health,Cancer Clinics,4489 Acworth Industrial Dr.
Cobb,Acworth,30101,Cobb and Douglas Public Health - Acworth Public Health Center,Health,Colorectal Cancer Detection,4489 Acworth Industrial Dr.
Cobb,Acworth,30101,Cobb and Douglas Public Health - Acworth Public Health Center,Health,Confidential HIV Testing,4489 Acworth Industrial Dr.
Cobb,Acworth,30101,Cobb and Douglas Public Health - Acworth Public Health Center,Health,Contraception,4489 Acworth Industrial Dr.
Cobb,Acworth,30101,Cobb and Douglas Public Health - Acworth Public Health Center,Miscellaneous,Death Certificates,4489 Acworth Industrial Dr.
Cobb,Acworth,30101,Cobb and Douglas Public Health - Acworth Public Health Center,Health,Hearing Screening,4489 Acworth Industrial Dr.
Cobb,Acworth,30101,Cobb and Douglas Public Health - Acworth Public Health Center,Health,Hepatitis A Immunizations,4489 Acworth Industrial Dr.
Cobb,Acworth,30101,Cobb and Douglas Public Health - Acworth Public Health Center,Health,Hepatitis B Immunizations,4489 Acworth Industrial Dr.
Cobb,Acworth,30101,Cobb and Douglas Public Health - Acworth Public Health Center,Health,Mammograms,4489 Acworth Industrial Dr.
Cobb,Acworth,30101,Cobb and Douglas Public Health - Acworth Public Health Center,Health,Pap Tests,4489 Acworth Industrial Dr.
Cobb,Acworth,30101,Cobb and Douglas Public Health - Acworth Public Health Center,Health,Premarital Blood Tests,4489 Acworth Industrial Dr.
Cobb,Acworth,30101,Cobb and Douglas Public Health - Acworth Public Health Center,Health,Prostatic Specific Antigen Blood Tests,4489 Acworth Industrial Dr.
Cobb,Acworth,30101,Cobb and Douglas Public Health - Acworth Public Health Center,Health,Public Clinics,4489 Acworth Industrial Dr.
Cobb,Acworth,30101,Cobb and Douglas Public Health - Acworth Public Health Center,Health,Sexually Transmitted Disease Screening,4489 Acworth Industrial Dr.
Cobb,Acworth,30101,Cobb and Douglas Public Health - Acworth Public Health Center,Health,Sickle Cell Screening,4489 Acworth Industrial Dr.
Cobb,Acworth,30101,Cobb and Douglas Public Health - Acworth Public Health Center,Education,Teen Family Planning Programs,4489 Acworth Industrial Dr.
Cobb,Acworth,30101,Cobb and Douglas Public Health - Acworth Public Health Center,Health,Tuberculosis Screening,4489 Acworth Industrial Dr.
Cobb,Acworth,30101,Cobb and Douglas Public Health - Acworth Public Health Center,Health,Vision Screening,4489 Acworth Industrial Dr.
Cobb,Acworth,30101,Cobb and Douglas Public Health - Acworth Public Health Center,Health,Well Baby Care,4489 Acworth Industrial Dr.
Cobb,Acworth,30102,"Hopequest Ministry Group, Inc.",Health,Adult Child Sexual Abuse Counseling,5345 Crossroads Dr.
Cobb,Acworth,30102,"Hopequest Ministry Group, Inc.",Health,Adult Residential Treatment Facilities,5345 Crossroads Dr.
Cobb,Acworth,30102,"Hopequest Ministry Group, Inc.",Health,Alcohol Dependency Support Groups,5345 Crossroads Dr.
Cobb,Acworth,30102,"Hopequest Ministry Group, Inc.",Health,Anger Management,5345 Crossroads Dr.
Cobb,Acworth,30102,"Hopequest Ministry Group, Inc.",Health,Anxiety Disorders Screening,5345 Crossroads Dr.
Cobb,Acworth,30102,"Hopequest Ministry Group, Inc.",Health,Child Abuse Counseling,5345 Crossroads Dr.
Cobb,Acworth,30102,"Hopequest Ministry Group, Inc.",Health,Child Sexual Abuse Counseling,5345 Crossroads Dr.
Cobb,Acworth,30102,"Hopequest Ministry Group, Inc.",Health,Comprehensive Outpatient Alcoholism Treatment,5345 Crossroads Dr.
Cobb,Acworth,30102,"Hopequest Ministry Group, Inc.",Health,Comprehensive Outpatient Drug Abuse Treatment,5345 Crossroads Dr.
Cobb,Acworth,30102,"Hopequest Ministry Group, Inc.",Health,Court Ordered DUI Evaluations,5345 Crossroads Dr.
Cobb,Acworth,30102,"Hopequest Ministry Group, Inc.",Health,Crisis Residential Treatment,5345 Crossroads Dr.
Cobb,Acworth,30102,"Hopequest Ministry Group, Inc.",Health,Depression Screening,5345 Crossroads Dr.
Cobb,Acworth,30102,"Hopequest Ministry Group, Inc.",Miscellaneous,Donation Pickups,5345 Crossroads Dr.
Cobb,Acworth,30102,"Hopequest Ministry Group, Inc.",Health,Drug Abuse Counseling,5345 Crossroads Dr.
Cobb,Acworth,30102,"Hopequest Ministry Group, Inc.",Health,Drug Dependency Support Groups,5345 Crossroads Dr.
Cobb,Acworth,30102,"Hopequest Ministry Group, Inc.",Health,Families/Friends of Alcoholics Support Groups,5345 Crossroads Dr.
Cobb,Acworth,30102,"Hopequest Ministry Group, Inc.",Health,Families/Friends of Drug Abusers Support Groups,5345 Crossroads Dr.
Cobb,Acworth,30102,"Hopequest Ministry Group, Inc.",Health,Family Counseling,5345 Crossroads Dr.
Cobb,Acworth,30102,"Hopequest Ministry Group, Inc.",Health,Gender Identity Counseling,5345 Crossroads Dr.
Cobb,Acworth,30102,"Hopequest Ministry Group, Inc.",Health,Group Counseling,5345 Crossroads Dr.
Cobb,Acworth,30102,"Hopequest Ministry Group, Inc.",Health,Individual Counseling,5345 Crossroads Dr.
Cobb,Acworth,30102,"Hopequest Ministry Group, Inc.",Health,Internet Addiction Counseling,5345 Crossroads Dr.
Cobb,Acworth,30102,"Hopequest Ministry Group, Inc.",Health,Marriage Counseling,5345 Crossroads Dr.
Cobb,Acworth,30102,"Hopequest Ministry Group, Inc.",Health,Parent Counseling,5345 Crossroads Dr.
Cobb,Acworth,30102,"Hopequest Ministry Group, Inc.",Health,Premarital Counseling,5345 Crossroads Dr.
Cobb,Acworth,30102,"Hopequest Ministry Group, Inc.",Homelessness,Residential Alcoholism Treatment Facilities * Men,5345 Crossroads Dr.
Cobb,Acworth,30102,"Hopequest Ministry Group, Inc.",Homelessness,Residential Alcoholism Treatment Facilities * Women,5345 Crossroads Dr.
Cobb,Acworth,30102,"Hopequest Ministry Group, Inc.",Homelessness,Residential Drug Abuse Treatment Facilities * Men,5345 Crossroads Dr.
Cobb,Acworth,30102,"Hopequest Ministry Group, Inc.",Homelessness,Residential Drug Abuse Treatment Facilities * Women,5345 Crossroads Dr.
Cobb,Acworth,30102,"Hopequest Ministry Group, Inc.",Health,Sexual Assault Counseling,5345 Crossroads Dr.
Cobb,Acworth,30102,"Hopequest Ministry Group, Inc.",Health,Sexual Orientation Counseling,5345 Crossroads Dr.
Cobb,Acworth,30102,"Hopequest Ministry Group, Inc.",Health,Sexual/Love Addiction Counseling,5345 Crossroads Dr.
Cobb,Acworth,30102,"Hopequest Ministry Group, Inc.",Health,Sexual/Love Addiction Support Groups,5345 Crossroads Dr.
Cobb,Acworth,30102,"Hopequest Ministry Group, Inc.",Health,Sexuality Counseling,5345 Crossroads Dr.
Cobb,Acworth,30102,"Hopequest Ministry Group, Inc.",Health,Spouse/Intimate Partner Abuse Counseling,5345 Crossroads Dr.
Cobb,Acworth,30102,"Hopequest Ministry Group, Inc.",Miscellaneous,Therapeutic Self Help Materials * Alcohol Abuse Issues,5345 Crossroads Dr.
Cobb,Acworth,30102,"Hopequest Ministry Group, Inc.",Miscellaneous,Therapeutic Self Help Materials * Drug Abuse Issues,5345 Crossroads Dr.
Cobb,Acworth - Cobb,30101,Marietta Housing Authority - Acworth,Homelessness,Housing Authorities,"4173 F. J. Kienel St., NW"
Cobb,Acworth - Cobb,30101,Marietta Housing Authority - Acworth,Homelessness,Public Housing,"4173 F. J. Kienel St., NW"
Cobb,Acworth - Cobb,30101,Ser Familia,Health,Adolescent/Youth Counseling,209 Northridge Dr.
Cobb,Acworth - Cobb,30101,Ser Familia,Miscellaneous,Cultural Awareness/Competencies Training,209 Northridge Dr.
Cobb,Acworth - Cobb,30101,Ser Familia,Miscellaneous,Donation Pickups,209 Northridge Dr.
Cobb,Acworth - Cobb,30101,Ser Familia,Health,Family Counseling,209 Northridge Dr.
Cobb,Acworth - Cobb,30101,Ser Familia,Homelessness,Family Support Centers/Outreach,209 Northridge Dr.
Cobb,Acworth - Cobb,30101,Ser Familia,Miscellaneous,General Juvenile Delinquency Prevention Programs,209 Northridge Dr.
Cobb,Acworth - Cobb,30101,Ser Familia,Education,Leadership Development,209 Northridge Dr.
Cobb,Acworth - Cobb,30101,Ser Familia,Health,Life Skills Education,209 Northridge Dr.
Cobb,Acworth - Cobb,30101,Ser Familia,Health,Marriage Counseling,209 Northridge Dr.
Cobb,Acworth - Cobb,30101,Ser Familia,Health,Parent Counseling,209 Northridge Dr.
Cobb,Acworth - Cobb,30101,Ser Familia,Health,Parent Support Groups,209 Northridge Dr.
Cobb,Acworth - Cobb,30101,Ser Familia,Education,Parenting Skills Classes,209 Northridge Dr.
Cobb,Acworth - Cobb,30101,Ser Familia,Health,Peer Counseling,209 Northridge Dr.
Cobb,Acworth - Cobb,30101,Ser Familia,Health,Premarital Counseling,209 Northridge Dr.
Cobb,Acworth - Cobb,30101,Ser Familia,Health,Relationship Workshops,209 Northridge Dr.
Cobb,Acworth - Cobb,30101,Ser Familia,Miscellaneous,Specialized Information and Referral * Hispanic/Latino Community,209 Northridge Dr.
Cobb,Acworth - Cobb,30101,Ser Familia,Health,Spouse/Intimate Partner Abuse Prevention,209 Northridge Dr.
Cobb,Acworth - Cobb,30101,Ser Familia,Miscellaneous,Workshops/Symposiums * Youth Issues,209 Northridge Dr.
Cobb,Acworth - Cobb,30101,Ser Familia,Education,Youth Enrichment Programs,209 Northridge Dr.
Cobb,Acworth - Cobb,30101,Ser Familia,Miscellaneous,Youth Violence Prevention,209 Northridge Dr.
Cobb,Acworth - Cobb,30101,Ser Familia,Education,Youth/Student Support Groups,209 Northridge Dr.
Cobb,Atlanta,30339,"Atlanta Pet Rescue & Adoption, Inc.",Miscellaneous,Animal Adoption,"4874 S. Atlanta Rd., SE"
Cobb,Atlanta,30339,"Atlanta Pet Rescue & Adoption, Inc.",Miscellaneous,Animal Rescue,"4874 S. Atlanta Rd., SE"
Cobb,Atlanta,30339,"Atlanta Pet Rescue & Adoption, Inc.",Miscellaneous,Animal Shelters,"4874 S. Atlanta Rd., SE"
Cobb,Atlanta,30339,"C5 Youth Foundation of Georgia, Inc.",Education,Youth Enrichment Programs,2500 Windy Ridge Pkwy.
Cobb,Atlanta,30339,Cobb Chamber of Commerce,Miscellaneous,Chambers of Commerce,240 Interstate N. Pkwy.
Cobb,Atlanta,30339,Cobb Chamber of Commerce,Miscellaneous,Regional Economic Development,240 Interstate N. Pkwy.
Cobb,Atlanta,30339,Cobb Chamber of Commerce,Income,Small Business Development,240 Interstate N. Pkwy.
Cobb,Atlanta,30339,Cobb Chamber of Commerce,Miscellaneous,Specialized Information and Referral * Business Issues,240 Interstate N. Pkwy.
Cobb,Atlanta,30339,Link Counseling Center - Cobb County Office,Health,Group Counseling,1820 The Exchange
Cobb,Atlanta,30339,Link Counseling Center - Cobb County Office,Health,Individual Counseling,1820 The Exchange
Cobb,Atlanta,30339,Link Counseling Center - Cobb County Office,Health,Marriage Counseling,1820 The Exchange
Cobb,Atlanta,30339,Link Counseling Center - Cobb County Office,Miscellaneous,Talklines/Warmlines,1820 The Exchange
Cobb,Atlanta - Cobb,30339,Right in the Community,Health,Adult In Home Respite Care,1830 Water Pl.
Cobb,Atlanta - Cobb,30339,Right in the Community,Health,Adult Out of Home Respite Care,1830 Water Pl.
Cobb,Atlanta - Cobb,30339,Right in the Community,Health,Children's Out of Home Respite Care,1830 Water Pl.
Cobb,Atlanta - Cobb,30339,Right in the Community,Miscellaneous,Individual Advocacy,1830 Water Pl.
Cobb,Atlanta - Cobb,30339,Right in the Community,Education,Specialized Information and Referral * Developmental Issues,1830 Water Pl.
Cobb,Austell,30106,Saving Generations,Education,Adult/Child Mentoring Programs,
Cobb,Austell,30106,Saving Generations,Health,Group Counseling,
Cobb,Austell,30106,Saving Generations,Health,In Person Crisis Intervention,
Cobb,Austell,30106,Saving Generations,Health,Individual Counseling,
Cobb,Austell,30106,Saving Generations,Miscellaneous,Life Coaching,
Cobb,Austell,30106,WellStar Cobb Behavior Health,Health,Comprehensive Outpatient Alcoholism Treatment,3950 Austell Rd.
Cobb,Austell,30106,WellStar Cobb Behavior Health,Health,Comprehensive Outpatient Drug Abuse Treatment,3950 Austell Rd.
Cobb,Austell,30106,WellStar Cobb Behavior Health,Health,Drug Day Treatment,3950 Austell Rd.
Cobb,Austell,30106,WellStar Cobb Behavior Health,Health,Psychiatric Aftercare Services,3950 Austell Rd.
Cobb,Austell,30106,WellStar Cobb Behavior Health,Health,Psychiatric Day Treatment,3950 Austell Rd.
Cobb,Austell,30106,WellStar Cobb Hospital,Health,Adolescent Medicine,"3950 Austell Rd., SW"
Cobb,Austell,30106,WellStar Cobb Hospital,Health,Cardiovascular Medicine,"3950 Austell Rd., SW"
Cobb,Austell,30106,WellStar Cobb Hospital,Health,Community Wellness Programs,"3950 Austell Rd., SW"
Cobb,Austell,30106,WellStar Cobb Hospital,Health,General Acute Care Hospitals,"3950 Austell Rd., SW"
Cobb,Austell,30106,WellStar Cobb Hospital,Health,General Bereavement Support Groups,"3950 Austell Rd., SW"
Cobb,Austell,30106,WellStar Cobb Hospital,Health,General Intensive Care,"3950 Austell Rd., SW"
Cobb,Austell,30106,WellStar Cobb Hospital,Health,General Obstetrics,"3950 Austell Rd., SW"
Cobb,Austell,30106,WellStar Cobb Hospital,Health,Hospital Based Outpatient Services,"3950 Austell Rd., SW"
Cobb,Austell,30106,WellStar Cobb Hospital,Health,Magnetic Resonance Imaging,"3950 Austell Rd., SW"
Cobb,Austell,30106,WellStar Cobb Hospital,Health,Maternal and Fetal Medicine,"3950 Austell Rd., SW"
Cobb,Austell,30106,WellStar Cobb Hospital,Health,Medical Oncology,"3950 Austell Rd., SW"
Cobb,Austell,30106,WellStar Cobb Hospital,Health,Neonatal Intensive Care,"3950 Austell Rd., SW"
Cobb,Austell,30106,WellStar Cobb Hospital,Health,Neonatal/Perinatal Medicine,"3950 Austell Rd., SW"
Cobb,Austell,30106,WellStar Cobb Hospital,Health,Occupational Medicine,"3950 Austell Rd., SW"
Cobb,Austell,30106,WellStar Cobb Hospital,Health,Orthoptics,"3950 Austell Rd., SW"
Cobb,Austell,30106,WellStar Cobb Hospital,Health,Physical Medicine and Rehabilitation,"3950 Austell Rd., SW"
Cobb,Austell,30106,WellStar Cobb Hospital,Health,Wound Clinics,"3950 Austell Rd., SW"
Cobb,Austell,30168,Austell Community Taskforce,Education,Leadership Development,875 Six Flags Dr.
Cobb,Austell,30168,Austell Community Taskforce,Education,Public Speaking,875 Six Flags Dr.
Cobb,Austell,30168,Boys & Girls Club - Michael A. Grant Club,Education,Boys/Girls Clubs,875 Six Flags Dr.
Cobb,Austell,30168,Boys & Girls Club - Michael A. Grant Club,Education,Dropout Prevention,875 Six Flags Dr.
Cobb,Austell,30168,Boys & Girls Club - Michael A. Grant Club,Education,Extended Child Care,875 Six Flags Dr.
Cobb,Austell,30168,Boys & Girls Club - Michael A. Grant Club,Education,Youth Enrichment Programs,875 Six Flags Dr.
Cobb,Austell,30168,Cobb And Douglas Public Health - Adolescent Health & Youth Development,Health,General Sexuality/Reproductive Health Education,875 Six Flags Dr.
Cobb,Austell,30168,Cobb And Douglas Public Health - Adolescent Health & Youth Development,Health,WIC Applications/Certification,875 Six Flags Dr.
Cobb,Austell,30168,Cobb/Douglas Counties Community Services Boards - Circle & Integrated Health Services Programs,Health,Alcoholism Day Treatment,6133 Love St.
Cobb,Austell,30168,Cobb/Douglas Counties Community Services Boards - Circle & Integrated Health Services Programs,Health,Anger Management,6133 Love St.
Cobb,Austell,30168,Cobb/Douglas Counties Community Services Boards - Circle & Integrated Health Services Programs,Health,Drug Day Treatment,6133 Love St.
Cobb,Austell,30168,Cobb/Douglas Counties Community Services Boards - Circle & Integrated Health Services Programs,Health,General Mental Health Information/Education,6133 Love St.
Cobb,Austell,30168,Cobb/Douglas Counties Community Services Boards - Circle & Integrated Health Services Programs,Health,Independent Living Skills Instruction,6133 Love St.
Cobb,Austell,30168,Cobb/Douglas Counties Community Services Boards - Circle & Integrated Health Services Programs,Health,Programs for Sex Offenders with Mental Disabilities,6133 Love St.
Cobb,Austell,30168,Cobb/Douglas Counties Community Services Boards - Circle & Integrated Health Services Programs,Health,Substance Abuse Intervention Programs,6133 Love St.
Cobb,Austell,30168,"Reentry Project, Inc.",Miscellaneous,Donation Pickups,
Cobb,Austell,30168,"Reentry Project, Inc.",Income,Ex-Offender Counseling,
Cobb,Austell,30168,"Reentry Project, Inc.",Income,Ex-Offender Employment Programs,
Cobb,Austell,30168,"Reentry Project, Inc.",Homelessness,Ex-Offender Reentry Programs,
Cobb,Austell,30168,"Reentry Project, Inc.",Homelessness,Transitional Housing/Shelter * Men * Ex-Offenders,
Cobb,Austell,30168,"Save A Life 4 Christ Outreach Ministry, Inc.",Education,Adult/Child Mentoring Programs,5900 Maxham Rd.
Cobb,Austell,30168,"Save A Life 4 Christ Outreach Ministry, Inc.",Education,Career Counseling,5900 Maxham Rd.
Cobb,Austell,30168,"Save A Life 4 Christ Outreach Ministry, Inc.",Miscellaneous,Donation Pickups,5900 Maxham Rd.
Cobb,Austell,30168,"Save A Life 4 Christ Outreach Ministry, Inc.",Income,Ex-Offender Employment Programs,5900 Maxham Rd.
Cobb,Austell,30168,"Save A Life 4 Christ Outreach Ministry, Inc.",Miscellaneous,Friendly Telephoning,5900 Maxham Rd.
Cobb,Austell,30168,"Save A Life 4 Christ Outreach Ministry, Inc.",Miscellaneous,Friendly Visiting,5900 Maxham Rd.
Cobb,Austell,30168,"Save A Life 4 Christ Outreach Ministry, Inc.",Basic Needs,Grocery Delivery,5900 Maxham Rd.
Cobb,Austell,30168,"Save A Life 4 Christ Outreach Ministry, Inc.",Education,Job Search Resource Centers,5900 Maxham Rd.
Cobb,Austell,30168,"Save A Life 4 Christ Outreach Ministry, Inc.",Miscellaneous,Lawyer Referral Services,5900 Maxham Rd.
Cobb,Austell,30168,"Save A Life 4 Christ Outreach Ministry, Inc.",Miscellaneous,Notary Public Services,5900 Maxham Rd.
Cobb,Austell,30168,"Save A Life 4 Christ Outreach Ministry, Inc.",Education,Resume Preparation Assistance,5900 Maxham Rd.
Cobb,Austell,30168,"Save A Life 4 Christ Outreach Ministry, Inc.",Education,Youth Job Development,5900 Maxham Rd.
Cobb,Austell,30168,Sweetwater Mission,Miscellaneous,Baby Clothing,6289 Veterans Memorial Hwy.
Cobb,Austell,30168,Sweetwater Mission,Health,Benefits Screening,6289 Veterans Memorial Hwy.
Cobb,Austell,30168,Sweetwater Mission,Miscellaneous,Children's Clothing,6289 Veterans Memorial Hwy.
Cobb,Austell,30168,Sweetwater Mission,Miscellaneous,Diapers,6289 Veterans Memorial Hwy.
Cobb,Austell,30168,Sweetwater Mission,Basic Needs,Food Pantries,6289 Veterans Memorial Hwy.
Cobb,Austell,30168,Sweetwater Mission,Miscellaneous,General Clothing Provision,6289 Veterans Memorial Hwy.
Cobb,Austell,30168,Sweetwater Mission,Basic Needs,No Cook Food,6289 Veterans Memorial Hwy.
Cobb,Austell,30168,Sweetwater Mission,Miscellaneous,School Clothing,6289 Veterans Memorial Hwy.
Cobb,Austell,30168,Sweetwater Mission,Miscellaneous,Shoes,6289 Veterans Memorial Hwy.
Cobb,Austell,30168,Sweetwater Mission,Miscellaneous,Winter Clothing,6289 Veterans Memorial Hwy.
Cobb,Austell,30168,Sweetwater Mission,Miscellaneous,Work Clothing,6289 Veterans Memorial Hwy.
Cobb,Kennesaw,30144,"Destiny's Daughters of Promise, Inc.",Education,Adult/Child Mentoring Programs,975 Cobb Place Blvd.
Cobb,Kennesaw,30144,"Destiny's Daughters of Promise, Inc.",Education,Leadership Development,975 Cobb Place Blvd.
Cobb,Kennesaw,30144,"Destiny's Daughters of Promise, Inc.",Health,Life Skills Education,975 Cobb Place Blvd.
Cobb,Kennesaw,30144,"Destiny's Daughters of Promise, Inc.",Education,Youth Community Service Programs,975 Cobb Place Blvd.
Cobb,Kennesaw,30144,"Destiny's Daughters of Promise, Inc.",Education,Youth Enrichment Programs,975 Cobb Place Blvd.
Cobb,Kennesaw,30144,"Destiny's Daughters of Promise, Inc.",Education,Youth Job Development,975 Cobb Place Blvd.
Cobb,Kennesaw,30144,"Destiny's Daughters of Promise, Inc.",Education,Youth/Student Support Groups,975 Cobb Place Blvd.
Cobb,Kennesaw,30144,Edge Connection,Income,Business Assistance Centers,3333 Busbee Dr.
Cobb,Kennesaw,30144,Edge Connection,Income,Entrepreneurial Training,3333 Busbee Dr.
Cobb,Kennesaw,30144,Edge Connection,Income,Microenterprise Development/Support,3333 Busbee Dr.
Cobb,Kennesaw,30144,Edge Connection,Miscellaneous,Workshops/Symposiums * Business Issues,3333 Busbee Dr.
Cobb,Kennesaw,30144,Fountain Gate Counseling Center,Health,Adolescent/Youth Counseling,2985 Cherokee St.
Cobb,Kennesaw,30144,Fountain Gate Counseling Center,Health,Adult Child Sexual Abuse Counseling,2985 Cherokee St.
Cobb,Kennesaw,30144,Fountain Gate Counseling Center,Health,Anger Management,2985 Cherokee St.
Cobb,Kennesaw,30144,Fountain Gate Counseling Center,Health,Anxiety Disorders Screening,2985 Cherokee St.
